TeamCode,TeamName,2026NIT,Power Pool Jotform,2025 Triple Crown NIT,2025 USAV Girls Junior National Championship 10-13,2025 USAV Girls Junior National Championship 14-17,2026 ASICS Kansas City MLK Tournament,2026 City of Oaks Challenge,2026 Fiesta MLK Classic Volleyball Tournament,2026 Florida Fest JNQ,2026 JVA Rock N Rumble Wknd 1 Girls 12U-14U,2026 JVA Rock N Rumble Wknd 2 15U-18U,2026 Mideast Power League (MEPL) ,2026 Salt Lake City 18s Showdown,2026 The Nike Classic,2026 Tour of Texas Stop 1: Austin-Bryan,2026 Triple Crown Colorado Challenge,2026 Tropical Ice Challenge (12-18 OPEN) - Week #2,2026 Windy City Girl's 18's National Qualifier ,2026 adidas Lone Star Classic 18s,AAU Girls National Volleyball Championships-Wave 1,AAU Girls National Volleyball Championships-Wave 2,AAU Girls National Volleyball Championships-Wave 3,AAU Girls National Volleyball Championships-Wave 4,SCSN Girls 12U/17U Event #1 January 17,SCSN Girls 13U Event #1 January 10,SCSN Girls 14U Event #1 December 20,SCSN Girls 14U Event #2 January 24,SCSN Girls 15U Event #1 January 19,SCSN Girls 16U Event #1 January 18,SCSN Girls 18U Event #1 January 10-11
g171unvb1nt,1United 17N Blue,Yes,NO,,,,,,,,,,,,,13 (17 Invitational),,,,,,,,,,,,,,,
g161unvb1nt,1United 16N Blue,Yes,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,
g151unvb1nt,1United 15N Blue,Yes,NO,,,,,,,,,,,,,11 (15 Invitational),,,,,,,,,,,,,,,
g141unvb1nt,1United 14N Blue,Yes,YES,,,,,,,,,,,,,3 (14 Invitational),,,,,,,,,,,,,,,
g131unvb1nt,1United 13N Blue,Yes,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,
g121unvb1nt,1United 12N Blue,Yes,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,
g17sixty1nt,360 17 HP Elite,Yes,NO,,,19 (16 USA),,,,,,,,,,21 (17 Invitational),,,,,,,,,,,,,,,
g17edgep1ke,3DGE 171 Gold,Yes,NO,,,,,,,,,,,,3 (17 Open),,,,,,,,,,,,,,,,
g17netre1ha,417 MoJrs 17 Elite Black,Yes,NO,135 (16 & Under),,,,,,,,,,,,,,,,,,,,,,,,,,,
g16netre1ha,417 MoJrs 16 Elite,Yes,NO,124 (15 & Under),,5 (15 Liberty),,,,,,,,,,,,,,,,,,,,,,,,,
g16afive1so,A5 16-Gabe,Yes,YES,3 (15 & Under),,17 (15 Open),,,,,,,,,,1 (16 Invitational),,,,,,3 (15 Open),,,,,,,,,
g16afive2so,A5 16-Stephen,Yes,NO,81 (15 & Under),,9 (15 USA),,,,,,,,,,,,,,,,5 (15 Open),,,,,,,,,
g17afive1so,A5 17 Calvin,Yes,YES,10 (16 & Under),,5 (16 Open),,,,,,,,,,6 (17 Invitational),,,,,,,3 (16 Open),,,,,,,,
g17afive2so,A5 17 AG,Yes,NO,99 (16 & Under),,11 (16 USA),,,,,,,,,,,,,,,,,55 (16 Premier),,,,,,,,
g12afive1so,A5 12-LA,Yes,NO,,3 (11 National),,,,,,,,,,,,,,,,3 (11 Open),,,,,,,,,,
g13afive1so,A5 13-Karen,Yes,YES,3 (12 & Under),3 (12 National),,,,,,,,,,,,,,,,3 (12 Open),,,,,,,,,,
