g12evavb2ho,Empowered 12 Elite Onyx,,,,,,,,,,24 (12 Club Blue),,,,,,,,,,,,
g12evbtc1ov,EliteVBTC 12 Black,,,,,,,,,,,None (12 Girls Full Schedule),,,,,,,,,,,
g12evbtc2ov,EliteVBTC 12 Blue,,,,,,,,,,,None (12 Girls Full Schedule),,,,,,,,,,,
g12excel1nt,EXCEL 12 National Red,,5 (11 National),,,,,,,,,,,,,,,,,,,,
g12excel2nt,EXCEL 12 National White,,,,,,,,,,,,,,17 (11 Club),,,,,,,,
g12fgsva1fl,Gulfside 12U Prime,,,,,,,,,,,,,,69 (11 Club),,,,,,,,
g12fivai1fl,FIVA 12U National,,,,,,1 (11-12G Club),,,,,,,,,,,,,,,,
g12five11lk,Five:1 12-Black,,,,,,,18 (12 Club),,,5 (12 Club Blue),,,,,,,,,,,,
g12flelt1fl,FEVA 12 Red,,,,,,,,,,,,,,11 (11 Club),,,,,,,,
g12flelt2fl,FEVA 12 White,,,,,,,,,,,,,,75 (11 Club),,,,,,,,
g12fmvbc1de,501 Volley 12.1 National,,,,,,,,,,,,,,26 (11 Club),,,,,,,,
g12force1ov,ForceVC 12-1,,,,3 (12 Club),,,,,,,,,,,,,,,,,,
g12forza1sc,FORZA1 12 ONE,,,,,,,,,,,,,,,,9th (12U Event #1),,,,,,
g12forzn1sc,FORZA1 NORTH 12 ONE,,39 (12 Patriot),,,,,,,,,,,,,,9th (12U Event #1),,,,,,
g12fovbc1lk,FaR Out 12 Black,,,,,,,7 (12 Open),,,,,,,,,,,,,,,
g12frogs1nt,MADFROG 12'S N GREEN,10 (12 & Under),1 (11 National),,,,,,,,,,,,,,,,,,,,
g12frvbc1rm,FRVBC 12-1 Black,,,,,,,,,7 (13 Club),,,,,,,,,,,,,
g12gcbus1ov,GCVC 12 Silver,,,,,,,7 (12 Club),,,,,,,,,,,,,,,
g12gjvbc1fl,Gainesville Jrs 12 Black,,,,,,,,,,,,,,11 (11 Club),,,,,,,,
g12gotim1ho,GoTime 12-1,,,,,,,,,,19 (12 Club Red),,,,,,,,,,,,
g12gpont1fl,GP 12 Rox,,,,,,,,,,,,,,5 (11 Club),,,,,,,,
g12gpont2fl,GP 12 Premier,,,,,,5 (11-12G Club),,,,,,,,,,,,,,,,
g12grbvc1ho,GRV 12 Black,,,,,,,,,,26 (12 Club Blue),,,,,,,,,,,,
g12havoc1ho,Select 12 Elite,,,,,,,,,,9 (12 Club Blue),,,,,,,,,,,,
g12hedln1ov,Headlines VBC 12 Navy,,,,,,,14 (12 Club),,,19 (12 Club Red),,,,,,,,,,,,
g12hosky1ls,H Skyline 12 Royal,,,,,,,,5 (12 National),,,,,,,,,,,,,,
g12hpstl1gw,HPSTL 12 Royal,,27 (11 National),,,,,,,,,,,,,,,,,,,,
g12hstar1ls,HOU STARS - 12 Adidas,,,,,,,,13 (12 National),,,,,,,,,,,,,,
g12htide1fl,High Tide 12 Elite,,,,,,2 (12G Open),,,,,,,,,,,,,,,,
g12iarck1ia,Iowa Rockets 12 Black,,37 (11 National),,,,,,,,,,,,,,,,,,,,
g12inspr1ov,Inspire CLE 12 Sunrise,,,,11 (12 Club),,,,,,,,,,,,,,,,,,
g12jelly1fl,Jellys 12Black,,,,,,9 (11-12G Club),,,,,,,,,,,,,,,,
g12jtaav1fl,Jupiter Elite 12E,,,,,,7 (12G Open),,,,,,,,35 (11 Club),,,,,,,,
g12jugge1rm,Juggernaut 12-Regional1,,,,,,,,,5 (13 Club),,,,,,,,,,,,,
g12k1vol12pu,K1 DENNIS,,,,,,1 (12G Open),,,,,,,,,,,,,,,,
g12k1vol4pu,K1 HATILLO JOSHUA 12,,,,,,,,,,,,,,5 (11 Open),,,,,,,,
g12k1vol6pu,K1 MANATI JASON 12-1,,,,,,,,,,,,,,3 (11 Club),,,,,,,,
g12l2vbc1lk,L2 121,,,,,,,13 (12 Club),,,,,,,,,,,,,,,
g12lakot1ov,LAVA 12-1 Black,,,,,,,,,,22 (12 Club Blue),,,,,,,,,,,,
g12lavaw1sc,LAVA West 12 Molten,,,,,,,,,,,,,,,,57th (12U Event #1),,,,,,
g12laver1ls,LV 12 Team Rox,,13 (11 National),,,,,,5 (12 National),,,,,,,,,,,,,,
